participant_id,wcst_rl_alpha,wcst_rl_beta,wcst_rl_n_trials,wcst_rl_alpha_pos,wcst_rl_alpha_neg,wcst_rl_alpha_asymmetry,wcst_rl_beta_asym,wcst_rl_asym_n_trials
biQ16yPcCKSkJQhSxUKcDc8gm8I2,0.3503104039290323,0.3840353148203169,128,0.23398234569444887,0.99,-0.7560176543055511,0.3418388316038441,128
btpcu1rB1JeSTo2upeHGPdv8kYG3,0.01,0.29675719860853583,70,0.01,0.99,-0.98,0.5432738775840947,70
c0hRe9PCPPZs3HWFqhIQargNlp52,0.01,0.1,85,0.01,0.2362185241613777,-0.2262185241613777,0.1,85
c8BtRUVPPPZHjyhX2rn702NoUld2,0.01,0.1,96,0.01,0.99,-0.98,0.1,96
cC0BEsQjfrcuCyoaOas9zJT0MNs2,0.01,0.1,120,0.01,0.9899999999999999,-0.9799999999999999,0.1,120
cEIs6U87xfbSL5eFTXDK77MmvNf1,0.01,0.1,103,0.01,0.7405940216815379,-0.7305940216815379,0.1,103
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,0.01,0.1,119,0.10545894394849852,0.99,-0.8845410560515015,0.37297165560785517,119
cec6NLR2ZLVVw6h0TEKSNIH11v02,0.01,8.90368010598734,128,0.01,0.01,0.0,8.90366314635151,128
cfoKz0AGhvYmW0DJmVKAZ01jh752,0.01,0.1,77,0.01,0.01,0.0,0.1,77
d9rwc0NXArcNlJvFsgKhQqkGxJq2,0.01,0.1,88,0.99,0.99,0.0,0.10101856941782414,88
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,0.7878009204330509,0.333571559245269,73,0.6036243952180864,0.99,-0.3863756047819136,0.330116686157634,73
e7NIVznoeNMC7bBejXnMVvFNPfx1,0.01,0.1,76,0.4619921557967622,0.8092705802757449,-0.3472784244789827,0.3940331539959484,76
fEL2NrgSd4MmDtLCAcMvCJQXTME2,0.01,0.1,81,0.48934607898256594,0.01,0.4793460789825659,0.1,81
fEq0OghbLpfD1jigl1Mbz96aMbg2,0.01,0.1,88,0.01,0.38684295132794266,-0.37684295132794265,0.1,88
foaW7wtvY3XLNdguFUK7OvOefP93,0.01,0.1,77,0.01,0.01,0.0,0.1,77
g2G9l3no7RbeRA9a1W3JnfegTnh2,0.01,0.1,101,0.13614580267524717,0.01,0.12614580267524717,0.24539392100783136,101
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,0.01,0.1,72,0.99,0.01,0.98,0.4052564630343667,72
h52Mz0cZjnOsmXT02EgU3JzzRKs2,0.01,2.9358220045308214,70,0.01,0.7703058602767466,-0.7603058602767466,3.86952813462169,70
